English Word,Persian Word
vectorial product,حاصل‌ضرب برداری ، حاصل‌ضرب خارجی ، حاصل ضرب خارجی ، حاصل ضرب برداری 
vectorial quantity,کمیّت برداری
vectorial space,فضای برداری
vectorial subspace,زیرفضای برداری
vectors,بردار ها ، بردار های 
vectors addition,جمع بردار ها
vectors dependence,وابستگی بردارها
vectors in the same sense,بردارهای متحّدالجهت ، بردار های هم جهت 
vectors with opposite sense,بردارهای مختلف الجهت
vee location,موضع دهی v شکل
veer,تغییر جهت دادن ، تغییر مسیر ، برگشت ، انحراف 
velocity,تندی ، سرعت 
velocity average,متوسط سرعت
velocity field,میدان سرعت
velocity function,تابع سرعت
velocity of b relative to a,سرعت b نسبت به a
velocity of fluid,سرعت سیال
velocity of light,سرعت نور
velocity parameter,پارامتر سرعت
velocity potential,پتانسیل سرعت
velocity vector,بردار سرعت
vendor,شرکت ، فروشنده 
venn diagram,نمودار ون نموداری که معمولا به صورتی از ترکیب شکل‌ها حاصل می شود و در ... 
venn euler diagrams,نمودارهای ون-اویلر ، نمودار های ون و اویلر 
venus,زهره
verbal assertion,بیان گفتاری
verge,کناره ، لبه ، حاشیه ، در شرف ، مشرف بر 
verging,میل
verifiable,قابل تحقیق ، قابل تصدیق 
verification,تحقیق ، بررسی ، بازرسی ، رسیدگی ، کنترل ، ممیزی ، بازبینی ، امتحان ،  ... 
verified,تحقیق شده ، محقّق شده ؛ سازگار ، محقق شده ، مسلم شده ، سازگار 
verified condition,شرط صادق
verify,تحقیق کردن ، بررسی کردن مسلّم کردن ؛ صدق کردن ؛ سازگار شدن ؛ بررسی کر ... 
vernier bevel protractor,نقاله ی دقیق
vernier caliper,کولیس اندازه گیر ، کولیس ، کولیس ورنیه 
vernier height gage,کولیس ارتفاع سنج
vernier micrometer,میکرومتر ورنیه دار ، ریزسنج ورنیه دار 
versatile,شکیل ، تطبیق نمودن ، همه کاره ، تطبیق پذیر 
versed cosine,سهم تمام ، سمت جیب تمام 
converse bernoulli theorem,قضیه عکس برنولی ، قضیه ی عکس برنولی 
converse domain,حوزه ی عکس
converse limit theorem,قضیه ی حدّی معکوس ، قضیه ی حدی معکوس 
converse limit theorem of characteristic function,قضیه ی حدّی معکوس تابع مشخصه ، قضیه ی حدی معکوس تابع مشخصه 
converse of a relation,عکس یک رابطه
converse of a theorem,عکس قضیه
converse of theorem,عکس قضیه ، قضیه ی معکوس ، قضیه ی متقابل 
converse theorem,قضیه ی عکس
conversely,به عکس ، برعکس ، متقابلاً ، بالعکس ، متقابلا 
conversion,تبدیل ، تحویل ، تغییر حالت ، تعویض ، تبدیل واحد ، واگردانش ، قلب نسبت ... 
conversion factor,ضریب واگردانی
conversion per accidens,عکس به تحدید(منطق)
conversion ratio,ضریب واگردانی
conversion table,جدول تبدیل(واحدها)
conversional marketing,بازاریابی تبدیلی ، بازاریابی بازگشتی 
convert,تبدیل کردن ، تحویل کردن ، تغییر کردن ، معکوس کردن ، درآوردن ، تبدیل ، ... 
convert degrees into grades,تبدیل کردن درجه به گراد ، تحویل کردن درجه به گراد 
convertible,قابل تبدیل ، تغییر پذیر ، تحویل پذیر 
convex,محدّب ، کوژ ، گوژ ، برجسته ، محدب 
convex analysis,آنالیز تحلیلی
convex body,جسم محدب
convex cell,حجره ی محدب
convex combination,ترکیب محدب
convex cone,مخروط محدب
convex function,تابع محدب
convex hull,غلاف کوژ ، غلاف گوژ ، غلاف محدب ، پوسته ی محدب ، پوسته ی کوژ 
convex linear combination,ترکیب خطّی کوژ ، ترکیب خطی کوژ ، ترکیب خطی محدب 
convex linear hull,غلاف خطی محدب
convex linear span,غلاف خطی محدب
convex neighborhood,همسایگی محدب
convex optimization,بهینه سازی محدب
convex polygon,کثیرالاضلاع محدّب ، چندضلعی محدّب ، چندضلعی کوژ ، چندضلعی محدب ، کثیر ... 
convex polyhedron,چندوجهی محدب
convex programming,برنامه ریزی محدب
convex quadrilaterals,چهارضلعی های کوژ
convex region,ناحیه ی محدب
convex sequence,رشته ی کوژ ، دنباله ی محدب 
convex set,مجموعه ی محدّب ، مجموعه ی کوژ ، مجموعه محدب ، مجموعه ی محدب 
convex span,غلاف محدب
convex subset,زیرمجموعه ی کوژ ، بخش کوژ ، زیرمجموعه ی محدب 
convex surface,سطح محدب ، رویه ی کوژ 
convexity,تحدب، کوژی
convexity of risk set,کوژی مجموعه ی خطر
convexity theorem,قضیه ی تحدب
convexo concave,محدّب ــ مقعّر ، کوژ ــ کاو ، محدب-مقعر ، کوژ-کاو 
convexo convex,محدّب الطرفین ، از دو سو کوژ ، محدب الطرفین 
conveying,انتقال
conveyor,نوار نقاله ، دستگاه انتقال ، ناقل ، نقاله ، نوار ناقل 
conveyor feed press,پرس با تغذیه ی نقاله ای
convince,ثابت کردن
convolution,همگردش ، پیچش ، چرخش ، تلفیق ، پیچیدگی ، تشکیلات پیچیده ، کنولوسیون 
convolution formula,دستور تلفیق ، دستور پیچش 
convolution integral,انتگرال پرش
convolution of distributions,پیچش توزیع ها
convolution of functions,پیچش تابع ها
convolution of two functions,انتگرال حاصلضرب تلفیقی دو تابع
convolution product,حاصلضرب حلقوی
convolution theorem,قضیه پیچش
cool off,سردشدن
cooling,تبرید ، سردشدن 
cooling curve,منحنی سردشدگی ، منحنی سرد شدن ، خم خنک سازی ، منحنی تبرید 
cooling problem,مسأله ی تبرید
cooling rate,سرعت انجماد ، نرخ سردن شدن 
cooling stress,تنش سردشدگی ، زمان خنک شدن ، تنش ناشی از سرد شدن 
equations of a homomorphism,معادلات یک همسانی
equations of a linear variety,معادلات یک متغیره ی خطی
equations of enneper,معادله های انپر
equations of motion,معادله های حرکت
equations of transformation,معادله های ترادیسی نیمان ، استوا ، خط استوا ، دایره ی استوا 
equator,خطّ استوا ، دایره ی استوا ، نیمان ، استوا ، دایره ی عظیمه(در بیضوی دو ... 
equator of an ellipsoid of revolution,دایره ی عظیمه ی بیضوی دوار
equator of movement,منطقه ی حرکت
equatorial,استوائی
equatorial quantum number,عدد کوانتومی استوایی
equi,پیشوندی به معنی هم یا مساوی
equiangle,زاویه ی مساوی(خم)
equiangle spiral,مارپیچ زاویه برابر(خم) ، مارپیچ زاویه ی برابر 
equiangular,هم زاویه ، متساوی الزاویه 
equiangular hyperbola,هذلولی متساوی الساقین
equiangular polygon,چندضلعی متساوی الزّوایا ، چندضلعی متساوی الزوایا ، چندضلعی برابر زاویه 
equiangular spiral,مارپیچ متساوی الزّوایا ، مارپیچ هم زاویه 
equiangular triangle,مثلث متساوی الزّوایا ، مثلث متساوی الزوایا 
equiareal,هم مساحت(نگاشت)
equicontinuity,هم پیوستگی ، هم اتّصالی ، یکسان پیوستگی ، همپیوستگی ، هم اتصالی 
equicontinuous,هم پیوسته
equicontinuous functions,تابع های یکسان پیوسته
equidimensional,همبعد
equidistance,هم فاصله ، متساوی الفاصله 
equidistant,متساوی‌البُعد ، هم‌فاصله ، متساوی‌الفاصله ، هم فاصله ، متساوی الفاصله ... 
equidistant curve,خم هم‌فاصله ، خم هم فاصله 
equidistant hypersurface,ابر رویه ی هم فاصله
equidistributed,هم توزیع
equilateral,متساوی الاضلاع ، متساوی الزاویه 
equilateral hyperbola,هذلولی متساوی الساقین ، هذلولی دو پهلو برابر ، هذلولی متساوی القطرین 
equilateral hyperbolic coordinates,مختصات هذلولوی متساوی الساقین ، مختصات هذلولوی قائم 
equilateral polygon,چندضلعی متساوی الاضلاع
equilateral spherical polygon,چندضلعی منتظم کروی
equilateral triangle,مثلث متساوی الاضلاع ، مثلث سه پهلو برابر ، مثلث راست پهلو ، مثلث سه پ ... 
equilateral triangle group,گروه مثلث متساوی الاضلاع
equilibrium,تعادل ، موازنه ، هم ترازی ، به حالت تعادل ، همتراز ، تعادل / کلمات مر ... 
equilibrium demand,تقاضای تعادل
equilibrium diagram,نمودار ساختمانی ، نمودار تعادلی ، نمودار تعادل 
equilibrium distribution,توزیع تعادلی
Equilibrium graph,گراف تعادلی
equilibrium price,بهای تعادل
equilibrium problems,مسائل تعادل
equilibrium supply,تولید تعادل
equimultiple,هم ضریب ، هم مضرب 
equinmerous sets,مجموعه های هم عدد
equinoctial point,نقطه ی اعتدال
equinormal distribution,توزیع هم‌نرمال
equinox,اعتدال شب و روز ، نقطه ی اعتدال 
equinumerable,هم شمار
equinumerate,هم تعداد ، همعداد 
equinumerous,هم توان ، هم عدد ، هم قوّه(منطق) ، همعدد ، همقوه 
equinumerous sets,مجموعه های هم توان ، مجموعه های هم عدد 
equioceillation,نوسان یکسان
equipment compatibility,هماهنگی تجهیزات
equipment failure,خرابی تجهیزات
equipollent,هم سنگ ، متوافق(منطق) ، هم قوّه ، هم نیرو ، هم ارزش ، هم معنی ، ابزار ... 
equipollent sets,مجموعه های هم ارز ، مجموعه های همتوان 
equipollent vectors,بُردارهای همسنگ ، بردار های همسنگ 
equipotence,همتوانی
equipotency,همتوانی ، همقوّه ای ، هم توانی ، هم قوه ای 
equipotent,همتوان ، همقوّه ، همقوّت ، همتاش ، هم پتانسیل ، هم ظرف 
equipotent sets,مجموعه های همتوان ، مجموعه های هم ارز ، مجموعه های هم توان 
equipotential,همتوان ، همقوّه ، همقوّت ، همتاش ، هم پتانسیل ، هم ظرف 
equipotential lines,خطوط هم پتانسیل
linear differential,دیفرانسیل خطی
linear differential equation,معادله ی دیفرانسیل خطی
linear differential equation of order n,معادله ی دیفرانسیل خطی از مرتبه ی n
Linear differential equations,معادلات دیفرانسیل خطی
linear displacement,جابجائی خطی
linear element,عنصر خطی
linear equation,معادله خطی ، معادله ی خطی 
linear equation or expression,معادله یا عبارت خطی
linear equations,معادلات خطی
linear estimate,برآورد خطی
linear estimator,برآوردگر خطی ، برآوردکننده ی خطی 
linear exponential family,خانواده نمایی خطی
linear expression,بسط خطی ، عبارت خطی 
linear extimator,برآوردکننده ی خطی
linear factor,عامل خطی ، سازه ی خطی 
linear filtering,پالایش خطی
linear first order difference equations,معادلات تفاضلی مرتبه ی اول خطی
linear form,صورت خطی
linear fractional,خطی کسری
linear fractional transformation,تبدیل خطّی کسری ، تبدیل کسری خطی ، تبدیل موبیوس 
linear function,تابع خطی
linear functional,تابعک خطی
linear genus,گونای خطی
linear group,گروه خطی
linear growth,رشد خطی
linear hazard rate distribution,توزیع نرخ خطر خطی
linear homogeneous equation,معادله ی همگن خطی
linear homotopy,همجایی خطی
linear independence,استقلال خطی ، ناوابستگی خطی 
linear independence of a vector,استقلال خطی بردار
linear inequalities,نامعادلات خطی ، نابرابری های خطی 
linear integral equation,معادله ی انتگرالی خطی
linear interpolation,درونیابی خطی ، میان یابی خطی ، درون گیری خطی 
linear least squares,کمترین توانهای دوم خطی
linear least squares fit,برازش کمترین مربعات خطی
Linear map,نگاشت خطی
linear mapping,نگاشت خطی ، گسترش خطی ، تحویل خطی 
linear measure,مقیاس طول
linear model,مدل خطی
linear model selection,گزینش مدل خطی
linear models,مدلهای خطی
linear models with crossed-error structure,مدلهای خطی با ساختار خطای متقاطع
linear models with nested-error structure,مدلهای خطی با ساختار خطای آشیانی
linear momentum,اندازه ی حرکت خطی
linear motion,حرکت خطی
linear multistep method,روش چندگامی خطی
linear network,شبکه ی خطی
linear number,عدد خطی
linear operator,عامل خطی ، عملگر خطی 
linear optimization,اپتیمم سازی خطی
linear order,ترتیب خطّی ، ترتیب خطی 
linear ordering,ترتیب خطی
linear ordering relation,رابطه ی ترتیب خطی ، نسبت ترتیب خطی 
linear part,قسمت خطی
linear plateau model,مدل فلاتی خطی
linear polynomial,چندجمله ای خطی
Linear polynomials,چندجمله ای های خطی
linear prediction,پیشگویی خطی
linear prediction and filtering,پیشگویی و پالایش خطی
linear primal,اولیه ی خطی
linear programing,برنامه ریزی خطی
linear programming,برنامه ریزی خطی
linear programming problem,مسأله ی برنامه ریزی خطی
linear property,خاصیت خطی
bandedness principal,اصل کرانداری
bank,بانک
bank credit,اعتبار بانکی
bank interest,ربح بانکی ، بهره ی بانکی 
bank rate,نرخ بانکی
bank rate of discount,نرخ تنزیل بانکی
banked,مانع
banked curve,منحنی مانع
banks,موجودی نزد بانک ها
bar,خطّ کسری ، خطّ تیره ، میله ای ، علامت ــ ، خط ، میله ، اهرم ، بند ، م ... 
bar chart,نمودار میله‌ای (آمار) ، نمودار مستطیلی ، نمودار میله ای ، نمودار ستون ... 
bar code,رمز میله ای ، رمز نواری 
bar code reader,خواننده ی رمز نواری
bar diagram,نمودار ستونی ، نمودار خطّی ، شکل ستونی ، نمودار میله ای ، نمودار خطی 
bar printer,چاپگر میله ای
barlow-schever reliability growth model,مدل رشد قابلیت اعتماد بارلو-شه‌ور
barn,واحد سطح معادل 1024 سانتیمتر مربع
barometric,فشاری
barometric equation,معادله ی فشاری
barrel,بشکه ، لوله ، استوانه ی گردان ، بشکه ای ، قرقره ی غلتک 
barrel printer,چاپگر بشکه ای
barrel tamble,گردان بشکه ای
barreled space,فضای چلیکی
barrier,حصار ، سد ، مانع ، تکه ی جدار ، تور سیمی 
bartlett adjustment,تصحیح بارتلت
bartlett's test of homogeneity of variances,آزمون بارتلت برای همگنی واریانس‌ها
barton-david test,آزمون بارتون-دیوید
barycenter,گرانیگاه ، مرکز ثقل ، مرکز فشار ، مرکز جرم ، گران مرکز 
barycenter coordinates,مختصّات گرانیگاهی ، مختصّات مرکز جرم ، مختصّات مرکز ثقل 
barycenteric coordinates,مختصات گرانیگاهی ، مختصات مرکز ثقل ، مختصات مرکز جرم 
barycentric,مرکز جرمی
barycentric angles of a triangle,زوایای مجاور به قاعده ی مثلث
barycentric coordinates,مختصات گرانیگاهی
barycentric field,هیئت پایه
barycentric for a topology,پایه ی توپولوژی
barycentric for logarithm,مبنای لگاریتم ، پایه برای لگاریتم 
barycentric of a number system,مبنای یک دستگاه شمار
barycentric of nataral logarithm,پایه ی لگاریتم طبیعی ، مبنای لگاریتم طبیعی 
barycentric of neighborhoods,پایه ی همسایگی ها
barycentric of triangle,قاعده ی مثلث
base,پایه ، مبنا ، قاعده (هندسه)؛ پایه (قوّه)؛ مبنا (شمار ، لگاریتم)؛ پایه ... 
base angles of a triangle,زوایای مجاور به قاعده ی مثلث
base circle,دایره ی مبنا
base criteria,معیار اصلی
base field,هیئت پایه
base for a topology,پایه ی توپولوژی
base for logarithm,پایه برای لگاریتم ، مبنای لگاریتم 
base level of consumption,سطح پایه ی مصرف
base line,خط صفر ، خط مبنا ، خط اصلی ، خط کور 
base of a logarithmic function,پایه ی تابع لگاریتمی
base of a number system,پایه ی دستگاه عددی ، مبنای یک دستگاه شمار 
base of a solid,قاعده ی یک جسم
base of a topological space,پایه ی فضای توپولوژیک
base of a triangle,قاعده ی مثلث
base of natural logarithm,پایه ی لگاریتم طبیعی
base of neighborhoods,پایه ی همسایگی ها
base of triangle,قاعده ی مثلث
base period,دوره ی پایه
base price,قیمت مبنا
base space of a fiber bundle,فضای پایه ی کلاف تاری
base value,مقدار پایه
based on,بر اساس ، بر پایه ی 
bases adjacent,پایه های مجاور
basic,بنیادی ، پایه ای ، اساسی ، اصلی ، پایه ، مبنایی ، مقدماتی 
simple arrangement,ترتیب ساده (در آنالیز)
simple character,کاراکتر ساده
simple closed,ساده ی بسته
simple closed contour,مرز ساده ی بسته
simple closed curve,منحنی بسته ساده ، خم جردن ، خم بسته ساده ، منحنی ساده ی بسته 
simple combination,ترکیب ساده(در آنالیز)
simple component,مؤلفه ی ساده
simple condition,شرط ساده
simple connected region,حوزه ی همبند ساده ، ناحیه ی یک پارچه ، ناحیه ی همبند ساده ، ناحیه ی م ... 
simple connectivity,همبندی ساده ، پیوستگی ساده 
simple constant,ثابت ساده
simple convergence topology,توپولوژی همگرایی ساده
simple converse,عکس ساده(منطق)
simple correlation,همبستگی ساده
simple curve,منحنی ساده
simple cusp,بازگشت ساده
simple discontinuity,ناپیوستگی ساده ، انفصال ساده 
simple equation,معادله ی ساده
simple equations,معادلات ساده ، مفردات برابر یکدیگر 
simple event,پیشامد ساده ، حادثه ساده ، ‌ حادثه ی ساده ، برآمد ساده 
simple events,حوادث ساده
simple expansion,بسط ساده
simple extension of a field,توسیع ساده ی هیات
simple field,میدان ساده
simple finite,متناهی ساده
simple flow,سیل ساده
simple form,شکل ساده
simple function,تابع ساده ، تابع تک ارز 
simple generate,تولید شده ساده
simple graph,گراف ساده
simple group,گروه ساده
simple harmonic,توافقی ساده
simple harmonic motion,حرکت هماهنگ ساده ، حرکت نوسانی ساده ، حرکت توافقی ساده ، حرکت پاندولی ... 
simple hexagon,شش ضلعی ساده
simple hypothesis,فرض ساده
simple interest,بهره ی ساده
simple iteration,تکرار ساده
simple iteration method,روش تکرار ساده
simple k module,k-مدول ساده
simple lie group,گروه لی ساده
simple linear equations,معادلات خطّی ساده ، معادلات خطی ساده 
simple linear regression,رگرسیون خطّی ساده ، رگرسیون خطی ساده 
simple loss function,تابع زیان ساده
simple motion,حرکت پاندولی ، حرکت سینوسی ، حرکت ساده 
simple multivariate regression,رگرسیون چند متغیّره ی ساده ، رگرسیون چندمتغیر ساده 
simple normal,نرمال ساده
simple n-person game,بازی n-نفره ساده
simple open arc,کمان ساده ی باز
simple order,ترتیب ساده
simple order relation,نسبت ترتیبی ساده ، رابطه ی ترتیبی ساده 
simple ordering relation,رابطه ی ترتیبی ساده
simple path,مسیر ساده
simple pendulum,آونگ ساده ، پاندول ساده 
simple point of a curve,نقطه ی ساده ی یک منحنی ، نقطه ی ساده ی خم ، نقطه ی معمولی خم 
simple point of a variety,نقطه ی ساده ی چند گونا ، نقطه ی ناتکین چندگونا 
simple point of an analytic set,نقطه ی ساده ی مجموعه ی تحلیلی ، نقطه ی معمولی مجموعه ی تحلیلی ، نقطه  ... 
simple pole,قطب ساده
simple polyhedron,چندوجهی ساده
simple posiotion,قاعده ی خطا و تصحیح ساده ، قاعده ی امتحان و تصحیح ساده 
simple proposition,گزاره ی بسیط ، گزاره ی ساده ، تناسب ساده ، قضیه ی مطلقه 
simple quadrangle,چهارگوش ساده
simple random sample,نمونه ی تصادفی ساده
simple random sampling,نمونه گیری تصادفی ساده ، نمونه‌گیری تصادفی ساده 
simple random variable,متغیّر تصادفی ساده ، متغیر تصادفی ساده 
hundred,عدد صد ، 100 
hundreds,صدگان ، مرتبه ی صدگان ، صدها ، مرتبه صدگان 
hundreds digit,رقم صدگان
hungarian constructions of empirical process,روشهای ساخت مجارستانی فرایند تجربی
hunt-stein theorem,قضیه هانت-استاین
hurst coefficient,ضریب هِرست
hurwitz,هرویتس
hurwitz criterion,معیار تصمیم گیری هارویس ، معیار ترکیب بد بینانه-خوش بینانه 
hurwitz ring,حلقه ی هرویتس
huygens formula,رابطه ی هویگنس
hybrid,هیبرید ، دور گه ، پیوندی ، دورگه ، ترکیبی 
hybrid log-normal distribution,توزیع لُگ‌نرمال دورگه
hybrid method,روش پیوندی
hybrid search,جستجوی پیوندی ، تجسس پیوندی 
hydraulics,علم حرکت مایعات
hydro form press,پرس فرم هیدرولیکی
hydrodynamic,مربوط به علم القوای مایعات هیدرولیک ، علم نیرو و حرکت آبگونه ها 
hydrogen economy,اقتصاد هیدروژن
hydrometer,آبگونه سنج ، هیدرومتر ، چگالی سنج 
hydrostatic,هیدرواستاتیک
hydrostatic paradox,تناقض هیدرواستاتیک
hypen,خطّ فاصله (-) ، کشک 
hyper,]پیشوند[ هیپر ، ابَر ، فوق ، فراتر ، بالاتر ، ابر ، عالی ، بالا 
hyper graeco latin,فوق لاتین-یونانی
hyperbola,هذلولی ، خطّ هذلولی ؛ قطع زاید ، گردنی ، هذلولوی 
hyperbolic,هیپربولیک ، هذلولی شکل ، هذلولوی ، هذلولیک ، هذلولی گون ، هذلولی روش 
hyperbolic argument,شنا سه ی هذلولوی
hyperbolic cosecant,کسکانت هذلولی گون
hyperbolic cosecant inverse,عکس (معکوس) کسکانت هذلولوی
hyperbolic cosine,کسینوس هیپربولیک ، کسینوس هذلولی گون ، کسینوس هذلولوی 
hyperbolic cotangent,کتانژانت هیپربولیک ، کتانژانت هذلولی گون ، کتانژانت هذلولوی 
hyperbolic cotangent inverse,عکس (معکوس) کتانژانت هذلولوی
hyperbolic cylinder,اُستوانه ی هذلولوی ، اُستوانه ی هذلولی گون ، استوانه ی هذلولوی 
hyperbolic cylinderal surface,رویه ی استوانه ای هذلولی گون
hyperbolic distribution,توزیع هذلولوی
hyperbolic equation,معادله ی هذلولی گون
hyperbolic function,تابع هذلولوی ، تابع هذلولی گون ، تابع هذلولی 
hyperbolic function inverse,عکس (معکوس) تابع هذلولوی
hyperbolic geometry,هندسه‌ی هذلولوی ، هندسه هذلولوی 
hyperbolic identity,اتحاد هذلولوی
hyperbolic inverse,عکس (معکوس) هذلولوی
hyperbolic inverse function,تابع معکوس هذلولوی
hyperbolic logarithm,لگاریتم هذلولی
hyperbolic paraboloid,سهمی وار هذلولی گون ، رویه ی سهمی مانند هذلولی روش ، سهمی گون هذلولوی ... 
hyperbolic partial differential equation,معادله ی دیفرانسیل جزئی هذلولی
hyperbolic plane,صفحه ی هذلولی گون
hyperbolic point,نقطه ی هذلولوی
hyperbolic point of a surface,نقطه ی هیپربولیک یک سطح
hyperbolic secant,سکانت هیپربولیک ، سکانت هذلولی گون ، سکانت هذلولوی 
hyperbolic secant inverse,عکس (معکوس) سکانت هذلولوی
hyperbolic sector,قطاع هذلولی ، قطاع هذلولی گون 
hyperbolic sine,سینوس هیپربولیک ، سینوس هذلولی گون ، سینوس هذلولوی 
hyperbolic sine inverse,عکس(معکوس) سینوس هذلولوی
hyperbolic spiral,ماریپچ هذلولوی ، مارپیچ هذلولی گون ، مارپیچ هذلولوی 
hyperbolic substitution,جانشانی هذلولولی
hyperbolic tangent,تانژانت هیپربولیک ، تانؤانت هذلولی گون تانژانت هذلولوی 
hyperbolic trigonometry,مثلثات هذلولوی ، مثلثات هذلولی 
hyperbolically completely monotone distribution,توزیع کاملاً یکنوای هذلولوی
hyperboloid,هذلولی ، هذلولی گون ، هذلولی وار ، رویه ی هذلولی مانند ، هذلولی دوران ... 
hyperboloid of one sheet,هذلولی وار یکپارچه ، هذلولی گون یکپارچه ، هیپربولوئید یکپارچه 
hyperboloid of revolution,هذلولی گون دوار
hyperboloid of revolution of one sheet,هیپربولوئید دوّار یکپارچه ، هذلولی گون دوار یک پارچه 
hyperboloid of two sheets,هذلولی وار دوپارچه ، هذلولی گون دوپارچه ، هیپربولوئید دوپارچه 
hypercloid with four cusps,خم ستاره ای ، خم هیپوسیکلوئید با چهار نقطه ی عطف 
expand,گستردن ، بسط دادن ، گسترانیدن 
expandability,بسط پذیری ، قابلیت انبساط 
expandable,قابل انبساط ، بسط پذیر 
expanded,مبسوط
expanded economy,اقتصاد در حال گسترش
expanded notation,شکل مبسوط
expanded order,ترتیب مبسوط
expanding sequence,دنباله ی منبسط شونده ، دنباله ی افزایشی 
expansion,بسط
expansion coefficients,ضریبهای بسط
expansion factor,عامل بسط
expansion in a series,بسط به سری
expansion of a determinant,بسط دترمینان
expansion of the universe,انبساط جهان
